time,distance_z,velocity_z,almost_fall
2.886151075,2.40572281,-1.084956778,0
3.023319006,2.39808759,-0.545561081,0
3.114092112,2.393276764,-0.379286984,0
3.188360929,2.383058885,-1.50375045,0
3.319972992,2.375077587,-0.806650349,0
3.419300079,2.366552767,-0.722337103,0
3.520066977,2.35928833,-0.718614598,0
3.611933947,2.352895619,-0.559769795,0
3.717811108,2.347896634,-0.396356541,0
3.820879936,2.343743972,-0.403183541,0
3.916355133,2.339778807,-0.413709154,0
4.017130136,2.336021712,-0.338163086,0
4.112722158,2.332335136,-0.320137038,0
4.217484951,2.329064345,-0.337068634,0
4.31647706,2.325752955,-0.331479101,0
4.412467003,2.323374231,-0.240411817,0
4.519119978,2.321023738,-0.155499724,0
4.619744062,2.31867799,-0.152303134,0
4.717805147,2.316128163,-0.14072039,0
4.818309069,2.31196564,-0.319759774,0
4.925976038,2.307059209,-0.462450915,0
4.985332012,2.302580268,-0.688133359,0
5.083773136,2.298806508,-0.599556578,0
5.213387012,2.296454513,-0.098452917,0
5.309113026,2.29361219,-0.205899282,0
5.421401024,2.291258759,-0.135964273,0
5.483889103,2.289357469,-0.267603545,0
5.609529972,2.287684734,-0.064366616,0
5.68238616,2.286130111,-0.263990247,0
5.81328702,2.28610813,-0.001667174,0
5.91792798,2.28638664,0.014749438,0
6.004121065,2.286319497,-0.00318216,0
6.082108974,2.286420072,0.017009823,0
6.184560061,2.285426622,-0.10907935,0
6.283977985,2.283346353,-0.340831211,0
6.383382082,2.281720816,-0.242633322,0
6.483694077,2.281529556,-0.027662163,0
6.58487606,2.281343916,-0.032042473,0
6.684072018,2.280350612,-0.167992674,0
6.783965111,2.278991381,-0.215948119,0
6.885245085,2.277026611,-0.269308483,0
6.990255117,2.275013108,-0.205480422,0
7.082832098,2.274401116,-0.103503242,0
7.186983109,2.274346972,-0.007968282,0
7.284280062,2.274506945,0.027164998,0
7.417187929,2.273792296,-0.05912137,0
7.486055136,2.272691382,-0.157060175,0
7.613577127,2.270205395,-0.182609236,0
7.714849949,2.266155481,-0.268350213,0
7.793503046,2.264086076,-0.256038823,0
7.898151159,2.262796085,-0.107566861,0
7.999664068,2.261534182,-0.110728104,0
8.096764088,2.25909155,-0.291055208,0
8.214627028,2.25669222,-0.255419236,0
8.285485983,2.253887869,-0.32225484,0
8.396830082,2.251135444,-0.214981508,0
8.509145975,2.249297456,-0.124139804,0
8.607663155,2.249368315,0.007231315,0
8.684749126,2.24921915,-0.022917333,0
8.820122957,2.249792675,0.055046623,0
8.888688087,2.24973462,-0.00691766,0
8.993823051,2.248190669,-0.112622599,0
9.118144989,2.246570431,-0.139543502,0
9.218709946,2.246187763,-0.030169679,0
9.281851053,2.247847509,0.277349814,0
9.42040801,2.249750063,0.174614624,0
9.505280972,2.251288279,0.111429075,0
9.591611147,2.252369976,0.105022429,0
9.694522142,2.25355811,0.105134856,0
9.784225941,2.255047806,0.20155613,0
9.883780003,2.257852676,0.405671676,0
10.01875496,2.26094933,0.251711401,0
10.08269095,2.264028064,0.520691344,0
10.1826601,2.266360421,0.396057223,0
10.28382802,2.266140159,-0.036806614,0
10.38732409,2.264617997,-0.185593253,0
10.48448801,2.263049487,-0.2569848,0
10.58405805,2.26357279,0.080694673,0
10.68485403,2.265317449,0.285844827,0
10.78448701,2.26660467,0.178774718,0
10.88265514,2.267502703,0.151880055,0
10.98289013,2.265657497,-0.302318596,0
11.085711,2.262934876,-0.406387847,0
11.19689798,2.261172057,-0.196122028,0
11.29135799,2.260633743,-0.08270515,0
11.38259101,2.260421375,-0.03479446,0
11.48503304,2.259588801,-0.136943891,0
11.58418107,2.258805098,-0.12642652,0
11.69377303,2.256454641,-0.273089402,0
11.81826115,2.252207534,-0.339955327,0
11.89147496,2.247695891,-0.616390978,0
11.98313308,2.244663994,-0.506641296,0
12.09976411,2.242446614,-0.300011863,0
12.19398212,2.240876853,-0.180385059,0
12.28995109,2.239486763,-0.147981248,0
12.39926195,2.237685479,-0.193721251,0
12.48480511,2.236335661,-0.195225853,0
12.58756304,2.236063543,-0.035335817,0
12.68463802,2.236705958,0.09164924,0
12.821769,2.238679566,0.15919056,0
12.91046596,2.240651867,0.152910036,0
13.01497507,2.242440191,0.207777575,0
13.08616114,2.241876049,-0.064826908,0
13.18644714,2.239206849,-0.325448689,0
13.29925799,2.237371674,-0.108565357,0
13.41835594,2.2372248,-0.011846739,0
13.48317313,2.240712417,0.537798651,0
13.618294,2.24301601,0.188710362,0
13.68968201,2.244959675,0.198353331,0
13.782897,2.245177989,0.03768201,0
13.91396308,2.245383914,0.017002254,0
14.01529193,2.246190633,0.082326651,0
14.11407614,2.246392489,0.018689716,0
14.22599101,2.246961572,0.041511457,0
14.28312016,2.24788913,0.160101243,0
14.38973904,2.248173857,0.031262617,0
14.49388599,2.247523997,-0.058617496,0
14.58424401,2.245700892,-0.281127111,0
14.68197203,2.244048327,-0.290014921,0
14.78589797,2.242904965,-0.144882456,0
14.88286495,2.242708228,-0.0322334,0
15.01321411,2.241873266,-0.066833642,0
15.08305597,2.241155361,-0.105653126,0
15.19521904,2.237544928,-0.322196832,0
15.28336215,2.234083294,-0.585449511,0
15.4188931,2.232122635,-0.164801574,0
15.48364615,2.230957535,-0.161814098,0
15.61902308,2.230046671,-0.072770294,0
15.69326806,2.229995654,-0.006523747,0
15.79755998,2.228440561,-0.123299294,0
15.89421797,2.225030569,-0.425670954,0
16.02143312,2.220139902,-0.407811984,0
16.09239197,2.216706652,-0.381965429,0
16.22055697,2.214002723,-0.225469184,0
16.29350805,2.211342571,-0.309930076,0
16.41974711,2.208553787,-0.160452801,0
16.50241113,2.204480096,-0.463043306,0
16.60571599,2.200927935,-0.26893223,0
16.72513509,2.199196092,-0.106978992,0
16.81746507,2.197439612,-0.147344228,0
16.91100717,2.19643305,-0.119938304,0
17.01940107,2.19592137,-0.043798835,0
17.1186161,2.195526535,-0.033187487,0
17.21749306,2.19405121,-0.121810243,0
17.31825709,2.194206281,0.009071302,0
17.41815996,2.194839882,0.048761765,0
17.51465511,2.195574336,0.045301792,0
17.61047816,2.196165309,0.05846041,0
17.71798706,2.198344433,0.184644599,0
17.81793904,2.200251987,0.160337914,0
17.9118681,2.201169736,0.086501588,0
18.01466608,2.201609702,0.036980925,0
18.11385298,2.203690217,0.216533837,0
18.21203113,2.205450311,0.175770669,0
18.31898499,2.208259768,0.236146626,0
18.38874102,2.210472312,0.272943594,0
18.52014709,2.212537798,0.212856927,0
18.60073709,2.214212979,0.1080957,0
18.71336198,2.216463409,0.231916132,0
18.80970311,2.220445847,0.441892948,0
18.91382313,2.224324485,0.23240272,0
19.00944996,2.22904717,0.414401139,0
19.12273812,2.230553014,0.098379557,0
19.18350506,2.230563811,0.001769022,0
19.32062006,2.231627725,0.109640761,0
19.41321206,2.234326786,0.238832938,0
19.51796508,2.236427624,0.172100633,0
19.58686996,2.238084277,0.199669755,0
19.71849012,2.240378379,0.192828852,0
19.78459907,2.239959736,-0.031752517,0
19.92239308,2.238612574,-0.076460176,0
19.99421597,2.237855616,-0.070710782,0
20.09888196,2.237017885,-0.097602739,0
20.18300414,2.238528208,0.256467763,0
20.28340816,2.239483393,0.140573268,0
20.38217998,2.240728241,0.214867134,0
20.497334,2.241995847,0.149346156,0
20.58305216,2.242480873,0.08072803,0
20.7027781,2.243804634,0.147274695,0
20.78422999,2.245347532,0.248899425,0
20.88383198,2.246992171,0.273734758,0
21.01125598,2.249476859,0.289487158,0
21.08306313,2.25153942,0.354549497,0
21.20852613,2.25174223,0.022503808,0
21.29132509,2.251899847,0.017351582,0
21.41650701,2.252460114,0.040586037,0
21.51672816,2.253203592,0.096544026,0
21.60016799,2.256199846,0.228910728,0
21.71509504,2.259374055,0.32080954,0
